"PID", "Sale_Price"
526350040, 145035.61
527105030, 275859.78
527146030, 307721.73
527165230, 124520.95
527182190, 200124.51
527258010, 291211.67
527358200, 126437.19
527368020, 156749.64
527403020, 107692.93
527451410, 201067.78
527453130, 108198.45
527453150, 106130.76
527454200, 114111.11
528112020, 302053.78
528120090, 143873.99
528120100, 298447.7
528120120, 143512.7
528138020, 131500.9
528138060, 202514.13
528176010, 141902.26
528181050, 98357.44
528218150, 253595.52
528228285, 236847.02
528250100, 246821.09
528358010, 106170.94
528382020, 107198.94
528386040, 150377.27
528445060, 178198.67
531367050, 106344.21
531451110, 221331.76
531452050, 82916.9
531477050, 142342.41
532354090, 120012.35
532376160, 152928.67
532377060, 178745.57
532378110, 90679.27
532479070, 125806.91
533205060, 177210.66
533208090, 154101.41
533212020, 196439.15
533221090, 159362.9
533221110, 101657.59
533352170, 112998.16
534102025, 129172.82
534151175, 234516.05
534152100, 136897.15
535152050, 203315.68
535152150, 390985.43
535152250, 160423.42
535154050, 193375.8
535175180, 190996.62
535302200, 83937.46
535304180, 164010.37
535350030, 162448.19
535350040, 144087.22
535401080, 171769.95
535453070, 133974.65
535454070, 140055.34
535457090, 362416.09
902102100, 133776.78
902106130, 156203.74
902106140, 135006.73
902125160, 53899.95
903204040, 349959.11
903225150, 289213.96
903226160, 157799.88
903425110, 247499.08
903426200, 229555.27
905102060, 153577.37
905103060, 156575.34
905104210, 116346.23
905105070, 232309.27
905106170, 126980.34
905107110, 154778.06
905109130, 227853.28
905109170, 175793.92
905201030, 192575.48
905202090, 69195.02
905352140, 151329
905452160, 218178.87
905453080, 216545.56
905475510, 121767.04
905478190, 75501.2
906204230, 179185.83
906378100, 294975.38
906385010, 176467.68
906477110, 121762.12
907125090, 256525.74
907180050, 275552.09
907203070, 117681.64
907250030, 128499.54
907262050, 169002.14
907290040, 71225.72
907401090, 185008.73
907410080, 194740.77
908102110, 159341.89
908102130, 170356.98
908226130, 270679.58
909101070, 231043.14
909177100, 221676.16
909250060, 348149.03
909281080, 222290.4
909428280, 197750.5
909452114, 90102.03
910203250, 134256.94
911128180, 185570.31
911204090, 221810.96
911204100, 173913.36
914467040, 399263.1
914475090, 181759.5
914478045, 161013.38
914478110, 154966.34
916386010, 93343.5
916475110, 268466.99
923205015, 107791.13
923225390, 100812.53
923225440, 90504.58
923226250, 150330.64
923228270, 140179.71
923228370, 108316.46
923276030, 249177.16
924152030, 232090.33
526302110, 184994.58
526355080, 173527.91
527132090, 129628.84
527161040, 150921.32
527162110, 143308.25
527163040, 113176.28
527163130, 45596.41
527164020, 144753.09
527166010, 176014.12
527182110, 188816.26
527214050, 117072.63
527258020, 298426.54
527326150, 394215.66
527352150, 303163.89
527403040, 119541.15
527405180, 258647.09
527450280, 125569.8
527451110, 185383.71
527452060, 183242.77
527453060, 333849.32
527453140, 148307.34
527454130, 167906.42
527455090, 209537.87
527455280, 398075.59
528102040, 226049.58
528102140, 156853.67
528108020, 95278.97
528112040, 320921.58
528142090, 112918.38
528166090, 135766.8
