"PID", "Sale_Price"
526350040, 125539.43
527105030, 197481.29
527146030, 241679.39
527165230, 180678.97
527182190, 218847.49
527258010, 354617.93
527358200, 170546.66
527368020, 208975.9
527403020, 140430.78
527451410, 95901.6
527453130, 145662.76
527453150, 108471.67
527454200, 141973.99
528112020, 305413.76
528120090, 236305.45
528120100, 227212.6
528120120, 303155.23
528138020, 307724.92
528138060, 197719.87
528176010, 524819.04
528181050, 200254.59
528218150, 179372.79
528228285, 163360.57
528250100, 167282.91
528358010, 239605.68
528382020, 304239.6
528386040, 424077.17
528445060, 233099.35
531367050, 213158.38
531451110, 128908.36
531452050, 123359.48
531477050, 89510
532354090, 149202.99
532376160, 136643.52
532377060, 120240.9
532378110, 138443.71
532479070, 186335.63
533205060, 246093.11
533208090, 180645.72
533212020, 157211.4
533221090, 172103.43
533221110, 178010.5
533352170, 173118.77
534102025, 233154.26
534151175, 259368.79
534152100, 189892.68
535152050, 221422.98
535152150, 178132.43
535152250, 142191.6
535154050, 131651.72
535175180, 135268.63
535302200, 122790.56
535304180, 132134.1
535350030, 148515.74
535350040, 127339.46
535401080, 163704.77
535453070, 157678.37
535454070, 120460.59
535457090, 144237.28
902102100, 113344.61
902106130, 97224.09
902106140, 112664.58
902125160, 85447.98
903204040, 133980
903225150, 84787.94
903226160, 103733.71
903425110, 134054.9
903426200, 151787.66
905102060, 131915.15
905103060, 160442.14
905104210, 125015.42
905105070, 149147.08
905106170, 124353.33
905107110, 166882.8
905109130, 282521.56
905109170, 233464.88
905201030, 73501.12
905202090, 134343.89
905352140, 223237.97
905452160, 143380.52
905453080, 246328.15
905475510, 96004.28
905478190, 102530.73
906204230, 251853.64
906378100, 230277.11
906385010, 190296.41
906477110, 147173.33
907125090, 154642.14
907180050, 189972.2
907203070, 128767.06
907250030, 322434.57
907262050, 227642.7
907290040, 189585.79
907401090, 240521.68
907410080, 204599.99
908102110, 94356.89
908102130, 103825.45
908226130, 83980.69
909101070, 61418.12
909177100, 109416.2
909250060, 183734.24
909281080, 240971.69
909428280, 308168.67
909452114, 209860.05
910203250, 52940.79
911128180, 92731.5
911204090, 107236.97
911204100, 86891.08
914467040, 252502.74
914475090, 171889.86
914478045, 148091.58
914478110, 164176.94
916386010, 221457.41
916475110, 202281.32
923205015, 177812.83
923225390, 130942.75
923225440, 85852.07
923226250, 85240.51
923228270, 74842.82
923228370, 87090.61
923276030, 144870.74
924152030, 229361.84
526302110, 119001.77
526355080, 335472.44
527132090, 202866.49
527161040, 170679.27
527162110, 194626.27
527163040, 185679.82
527163130, 185374.61
527164020, 161100.51
527166010, 225265.38
527182110, 183300.2
527214050, 498165.93
527258020, 251980.49
527326150, 214113.51
527352150, 181565.96
527403040, 146590.04
527405180, 122954.62
527450280, 102222.6
527451110, 119393.95
527452060, 127565.67
527453060, 144549.87
527453140, 137145.37
527454130, 142287.37
527455090, 115358.26
527455280, 158455.91
528102040, 351417.28
528102140, 462636.33
528108020, 370663.07
528112040, 317218.38
528142090, 313411.45
528166090, 469961.24
528172060, 237072.24
528176030, 495145.48
528186180, 211439.86
528228435, 197315.63
528228450, 192685.61
528240060, 188656.57
528240150, 193205.99
528250040, 180617.13
528275070, 233301.51
528275160, 265241.93
528280230, 222788.99
528290190, 160234.49
528292040, 186193.52
528292070, 216062.8
528315090, 330404.98
528321010, 370727.41
528327070, 331547.93
528344040, 329210.71
528365070, 309414.06
528385050, 242184.45
528431020, 246504.87
528435050, 292731.41
528441090, 470639.85
528456180, 241590.44
528456240, 202667.51
528458060, 203066.83
528480170, 252452.65
528488100, 185535.73
531363030, 166106.19
531369010, 196153.69
531452010, 127648.3
531453100, 166251.36
531475220, 154179.31
531477020, 75087.4
532353020, 125723.94
532378120, 125761.6
532378180, 116405.93
533213010, 221335.58
533213020, 197776.82
533213040, 162858.6
533221040, 177610.47
533223030, 173904.45
533236050, 187537.4
533253070, 187251.99
533254050, 201284.69
533254110, 177201.54
534128100, 158928.25
534129080, 189630.09
534175080, 234343.55
534226120, 124637.33
534252240, 163405.29
534276040, 112458.9
534402140, 152103.56
534429150, 175498.72
535101120, 129643.15
535125090, 196961.42
535151040, 148562.92
535154060, 164917.31
535175030, 161149.38
535175050, 144548.08
535178120, 137001.83
535179160, 133618.89
535351050, 158503.67
535353240, 167935.88
535375050, 125693.85
535377150, 111911.87
535378120, 117664.82
535383060, 51591.49
535383110, 95513.69
535425070, 181097.48
535452090, 123899.71
535453100, 129810.42
902102080, 120183.81
902103170, 98767.88
902105060, 123695.81
902106010, 148839.59
902106060, 114126.66
902109130, 91034.81
902135020, 88132.43
902201110, 126986.92
902206260, 97185.9
902300090, 99518.71
902301060, 104170.31
902301080, 113543.79
902405100, 152162.46
902477120, 74636.26
903226130, 113004.84
903231010, 128108.31
903231030, 137277.79
903231060, 39557.77
903234220, 132946.48
903427120, 133238.16
903429080, 152971.15
903429110, 138818.52
904301060, 163125.49
905101260, 157006.13
905103040, 168137.16
905103070, 132633.3
905105190, 130458.75
905107310, 143294.53
905200220, 136883.77
905229040, 142278.01
905402060, 130965.73
905452040, 153834.74
905480030, 106888.38
906201021, 165658.18
906201130, 260945
906203120, 312047.29
906223210, 231325.27
906226070, 115242.36
906226080, 144485.23
906340100, 343307.13
906340110, 310644.33
906340120, 284007.07
906378110, 231490.57
906380220, 229544.78
906392070, 195291.9
906392130, 182398.49
906426210, 236982.49
907126010, 156634.33
907131190, 193593.13
907135040, 154055.55
907202130, 150782.63
907227080, 122840.58
907227110, 124074.83
907252220, 260225.31
907260030, 186953.82
907275010, 233156.49
907285050, 197204.26
907410130, 275261.97
907414080, 180807.74
908102050, 113134.24
908102270, 154658.81
908128060, 204317.26
908154040, 328440.22
908186080, 137809.17
908201040, 102715.71
908225370, 86869.54
908250030, 75145.57
909251170, 154592.89
909254010, 135450.13
909276110, 170996.49
909279010, 206397.9
909427200, 157337.84
909451100, 136434.79
911104060, 77056.85
914474070, 231601.64
914475030, 171028.94
916176125, 257354.29
916382110, 315933.15
916403200, 209724.6
916475040, 379503.05
923201100, 135736.43
923203110, 164826.58
923228110, 83411.02
526353050, 223700.43
527107010, 180708.27
527107210, 193299.06
527127140, 296336.88
527131110, 251748.22
527164120, 203473.15
527165010, 185294.36
527252080, 330816.44
527276040, 161970.45
527301245, 269679.56
527302070, 182258.69
527302210, 218236.41
527325240, 168698.67
527357110, 138698.63
527357180, 285971.27
527380240, 321082.26
527427110, 171488.05
527452150, 131694.67
527454120, 132419.71
527455270, 119022.54
528102030, 376116.18
528110080, 336743.05
528110110, 479390.86
528142020, 263746.64
528170070, 263974.12
528178070, 360355.95
528180140, 383521.26
528186030, 296132.9
528186160, 216546.54
528228465, 176412.08
528235180, 181652.38
528290010, 201915.31
528326030, 287173.51
528354100, 260144.66
528363020, 323839.81
528427070, 246135.83
528431060, 240139.38
528431080, 219931.7
528431120, 270829.06
528458030, 217247.34
528458050, 210463.34
531450170, 187314.15
531451020, 208385.23
532354150, 138022.64
532376170, 111845.72
532477030, 186068.38
533125140, 326752.52
533206050, 188211.44
533212050, 158208.43
533212140, 152984.28
533215070, 261494.31
533217050, 156603.56
533236070, 188131.4
533250160, 290505.98
533350090, 259844.89
534225110, 135103.09
534251280, 168325.67
534277060, 113008.94
534277070, 119764.13
534400030, 149816.25
534401190, 145563.88
534403100, 160198.43
534428020, 138249.36
534477080, 115231.7
534477270, 162747.74
535103050, 212849.41
535105030, 136396.28
535178060, 139840.34
535180100, 139151.88
535180120, 131903.07
535302130, 135832.13
535352080, 112675.54
535375160, 111959.8
535380110, 92799
535380140, 139361.85
535403010, 136461.98
535451010, 126245.27
535453040, 131630.01
535455090, 123507.33
535456100, 112735.73
535477090, 121759.03
902100020, 130880.08
902105010, 101144.07
902105020, 225806.33
902105130, 80045.45
902109080, 112429.84
902109110, 194510.3
902109160, 115928.22
902128150, 143778.43
902201140, 149226.33
902202090, 139317.2
902205090, 117349.92
902207120, 87310.49
902330010, 119443.38
902405070, 208976.3
902406090, 132736.69
902427150, 116569.46
903226150, 114919.37
903228040, 147986.54
903232090, 153939.38
903234100, 120649.14
903235010, 121737.43
903235100, 63909.07
903400180, 193577.81
903401030, 152483.94
903426160, 151168.21
903454100, 150884.18
903455030, 111514.9
903455140, 123439.03
903458110, 94703.8
903476110, 104924.67
903481010, 90984.73
904100160, 136115.21
905200090, 122977.6
905201020, 135617.91
905226030, 103135.24
905227050, 136899.96
905401045, 195902.06
905426030, 177745.52
905427070, 207508.88
905452070, 106086.91
905452120, 131693.54
905479110, 119510.04
906424010, 241849.78
907126030, 154039.98
907135260, 147009.76
907175080, 215345.48
907176010, 195705.8
907203090, 117428.06
907227050, 123315.37
907250020, 223220.08
907251090, 248877.9
